ID,comment,Bears Ears?,Sentiment,URL
DOI-2017-0002-51314,"The Bears Ears area was acquired as part of the treaty of Guadalupe Hidalgo that ended the Mexican American War. The land was transferred to ownership by the United States government to be held in trust for the American people. The enabling act that brought Utah into the United States did NOT cede the lands in question to the state of Utah. They were retained in trust for the people of the United States. Congress has the authority to dispose of federal property. With the Antiquities Act congress delegated to the President the authority to permanently withdraw lands from development or disposition in the interest of conservation, science and archaeology. In effect this was an exercise of congressional power. It did not grant the executive branch the authority to rescind any designation made under the act. Designations made under the act have been recognized as one way actions since at least 1937.Efforts to preserve both the Bears Ears and Grand Staircase Escalante have been in process for at least the past 50 years. These lands were held in trust for ALL AMERICANS for at least the past 150 years. The monument designations protect the rights of local neighbors to continue to access the lands for recreation and multi use. Development of any of these lands would eventually result in loss of access for local neighbors. SD Governor Peter Norbeck recognized this risk and established Custer State Park to assure recreational access for state residents. Today this park is extremely popular and generates millions of dollars in economic activity for the citizens of Western South Dakota. The Bears Ears and Grand Staircase Escalante will have the same impact for the residents of Garfield, Kane and San Juan County Utah. This development as monuments have already generated permanent benefits to the neighboring communities. Preservation of special places is good for the soul of our country and has also been shown to be good for business. Tourism and recreation jobs are permanent jobs that bring broad community benefits for all. My wife and I are planning a visit to these monuments next year.As a psychiatric nurse practitioner I prescribe outdoor activities to help treat the symptoms of mental illness. I firmly believe nature is healing and soothing for troubled minds and souls.As an avid visitor of OUR public lands I support the continued designation of all 27 monuments covered by this order.Peter Westre PMHNP-BC APRN CNPSt Peter MN",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-51314
DOI-2017-0002-43634,"I encourage the Department to continue Monument designation for Oregon's Cascade Siskiyou Monument. Southwestern Oregon is an area of profound beauty, but with a need for the economic stimulus brought about by retaining the Monument designation. In Oregon, over $3 billion dollars (Dean Runyan ODFW study: http://www.deanrunyan.com/index.php?fuseaction=Main.TravelstatsDetail&page=Oregon) for fishing, hunting and wildlife viewing ended up in local rural area. The hikers, backpackers, rafters, campers and other outdoor enthusiasts contribute $9.8 billion every year to Oregon's economy. So, outdoor recreation is a big part of Oregon's economy, contributing $ 12.8 billion (Outdoor Industry Association). Maintaining the Cascade Siskiyou Monument not only maintains the ecological benefits of the area, it enhances the economic well-being of the entire Southern Oregon region. Francis S. Gilbert6385 W Evans Creek RoadRogue River, OR 97537",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-43634
DOI-2017-0002-32920,"Dear Secretary Ryan Zinke,Our public lands are vital to our national legacy, which belongs not only to us, but also to all future Americans. These are the wild places we lovewhere we run, hike, camp, ski, fish, climb and spend important time with our friends and families.",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-32920
DOI-2017-0002-14036,"Hello!The protection of our public lands in the form of National Parks and National Monuments is one of the things that has made America great and preserved her beauty. As the world gets more crowded, it is more important than ever to protect our shared lands. It takes vision and great courage to take a stand for protection of public lands. Please, let's not go backwards on this one.I live in Colorado and tourism is one of our biggest industries-because the preservation of nature is such a high priority.Please do not roll back the clock on the National Monuments.Thanks for all you do for the American people.",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-14036
DOI-2017-0002-68715,"Dear Secretary Ryan Zinke,As a supporter of bird conservation and our public lands, I strongly urge you to protect all national monuments under review, and to reject any changes to these iconic landscapes. The national monuments created in the past twenty years have protected vital bird habitat, helped safeguard our heritage, and benefited communities across the country. Reversing any of these designations would be a tragic mistake with harmful consequences for all that depend on our magnificent public lands. From the buttes of Bears Ears that support birds like the Golden Eagle, to the underwater canyons of the Northeast Canyons and Seamounts National Monument that support a critical ecosystem for Atlantic Puffins, to the rocky peaks of the Organ Mountains-Desert Peaks National Monument, the shrub-steppe habitat of Hanford Reach National Monument in Washington, and out to the pristine Pacific waters of the Papahanaumokuakea National Monument, all of these lands and waters are indispensable to birds and other wildlife.These monuments are a legacy of Teddy Roosevelt. He and all fifteen subsequent presidents--of both parties--have recognized the need and value of protecting these public lands with the Antiquities Act. I urge you to uphold Roosevelt's legacy and maintain these monuments for current and future generations.Sincerely,Barbara Clary Holland, MI 49424",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-68715
DOI-2017-0002-44281,"I have connections to southeastern Utah. I was born in Moab, lived in LaSal, my second child was born in Monticello. I have brothers and nieces and nephews who call this land home. So I care about what is happening in the area.It concerns me that when people from outside an area make decisions without consulting the very people who will be affected by the decision. If a national monument is a prudent decision to protect this beautiful land, then work out the details with the Navajos and other locals that live and use the area under consideration. If they make their livelihood by gathering pinenuts, firework, clay for ceramics, graze their sheep or cattle, adjust the rules and perhaps the boundaries to accommodate their historic use of the land. I love San Juan County. I love the diverse peoples, the wild and beautiful country. Utah has wonderful wide open spaces, where multiple uses can benefit everyone. Save and protect this beautiful land using wise stewardship. Don't lock the local residents out of their own backyard. Find a way to serve all interests, without disinheriting those who use the land for good.Thank you for your consideration.",Yes,Neutral,https://www.regulations.gov/document?D=DOI-2017-0002-44281
DOI-2017-0002-60870,"Dear Secretary Ryan Zinke,As a supporter of bird conservation and our public lands, I strongly urge you to protect all national monuments under review, and to reject any changes to these iconic landscapes. The national monuments created in the past twenty years have protected vital bird habitat, helped safeguard our heritage, and benefited communities across the country. Reversing any of these designations would be a tragic mistake with harmful consequences for all that depend on our magnificent public lands. From the buttes of Bears Ears that support birds like the Golden Eagle, to the underwater canyons of the Northeast Canyons and Seamounts National Monument that support a critical ecosystem for Atlantic Puffins, to the rocky peaks of the Organ Mountains-Desert Peaks National Monument, the shrub-steppe habitat of Hanford Reach National Monument in Washington, and out to the pristine Pacific waters of the Papahanaumokuakea National Monument, all of these lands and waters are indispensable to birds and other wildlife.These monuments are a legacy of Teddy Roosevelt. He and all fifteen subsequent presidents--of both parties--have recognized the need and value of protecting these public lands with the Antiquities Act. I urge you to uphold Roosevelt's legacy and maintain these monuments for current and future generations.Sincerely,Susan Sayre Woodstock, NY 12498",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-60870
DOI-2017-0002-43838,"Dear Secretary Ryan Zinke, Bears Ears National Monument should have been protected 50 years ago and deserves to be protected for all future generations. Please dont rescind or change its designation.Protecting land isn't just beneficial for our economy, but for the environment and the social fabric of America. People flock to these lands to enjoy their natural beauty, resulting in greater investment in surrounding communities and greater stewardship of the region. Let's not think of nature purely as a resource to reap benefits from, but as something that we are deeply connected to and reliant on. A healthy environment means healthy and thriving communities. Please fight for these lands that cannot fight for themselves.",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-43838
DOI-2017-0002-4097,"I wish to respectfully request that our national monuments be preserved as they are now. Grand Staircase-Escalante is so stunning that I have decided to buy property nearby so that I can explore more and more of it, and it also protects some of the greatest palentological discoveries in the nation. Vermillion Cliffs is a wild treasure that has brought a great many visitors and economic development within the region (Paria River/Buckskin Gulch and Coyote Buttes North/South have drawn worldwide attention.) Bear's Ears was carefully crafted with local economic concerns in mind and with the input and collaboration of affected tribes. Each of these monuments was enacted after a painstaking public comment period. The executive order caters only to a small minority of people who want this land for their own economic benefit, instead of the economic health of the surrounding communities and the enjoyment of millions of people from all over the world. Resource extraction would forever mar these beautiful areas and would mean tourism would be permanently harmed, including after mines are closed and wells are capped. Revoking monument designations would be a massive mistake and would result in a short term gain for some, and permanent damage to area economies. For example, I stated that I am looking to buy property, with plans on building a home near Grand Staircase-Escalante. That represents new money in the region. By myself, that's not a lot of money, but more and more investment has been taking place nearby, especially in Kanab. Spoiling the treasures that people go to the area to see would result in a loss of area population and would cripple any future growth.Please leave the monuments as is.",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-4097
DOI-2017-0002-53656,I believe all of our current national monuments should be still be kept and retained as such. Protect them.,No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-53656
DOI-2017-0002-38783,"I am strongly opposed to efforts to roll back the Antiquities Act and take away protections from the Bears Ears National Monument in Utah. This move is a blatant attempt to undermine our environmental protections, benefitting oil and other industrial special interests at the expense of the general public and tribal nations to enjoy and protect this land. I also want you to extend the public comment period and hold a public meeting of the review of the Bears Ears National Monument in order to promote greater participation in this important process. Please live up to the mission of the department to: ""protect and manage the Nation's natural resources and cultural heritage; provide scientific and other information about those resources; and honor its trust responsibilities or special commitments to American Indians, Alaska Natives, and affiliated Island Communities.""",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-38783
DOI-2017-0002-10057,"Dear Secretary Ryan Zinke,As a mountain biker and a citizen co-owner of our country's public lands, I SUPPORT our existing national monuments. I SUPPORT high-quality recreation that's managed in lands protected from reckless development and irresponsible resource extraction. I OPPOSE the repeal of any national monument protections. This sets a bad precedent. These landscapes host high quality recreation on some of our country's most valuable landscapes. National monuments have proven to be popular attractions for tourists and locals alike, substantially contributing to local and regional economies.The San Gabriel Mountains, Fort Ord, and Berryessa Snow Mountain National Monuments in California are three critical landscapes that mountain bikers had ample voice in creating through a public process. Mountain bikers have trail plans under consideration in other national monuments including Browns Canyon in Colorado, Katahdin Woods and Waters in Maine and Cascade Siskiyou in Oregon. Likewise, cyclists enjoy riding the rural roads in Escalante Grand Staircase of Utah and Canyon of the Ancients Monuments in Colorado. These opportunities to enjoy our public lands have ALL come from being involved in a public process. Mountain bikers across the nation can visit and aspire to ride these trails in a natural protected environment. We applaud a public comment period but urge that a public process be incorporated for designating new monuments not used to roll back existing designations.Sincerely,alison montgomery Reisterstown, MD 21136",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-10057
DOI-2017-0002-35843,"Dear Secretary Ryan Zinke,Secretary Zinke,These public lands are important to our lives and economy. Shrinking the availability of this resource will diminish the value/quality of our country and lives. I use this space weekly to heal my soul, exercise my body, and in doing so spend a significant amount of my money pursuing these locations. Please make every effort to keep these spaces and work to EXPAND rather than diminish this IRREPLACEABLE and VALUABLE resource!Sincerely,Jillian Greenaway Kent, WA 98032",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-35843
DOI-2017-0002-62397,"Dear Secretary Ryan Zinke,As a supporter of bird conservation and our public lands, I strongly urge you to protect all national monuments under review, and to reject any changes to these iconic landscapes. The national monuments created in the past twenty years have protected vital bird habitat, helped safeguard our heritage, and benefited communities across the country. Reversing any of these designations would be a tragic mistake with harmful consequences for all that depend on our magnificent public lands. From the buttes of Bears Ears that support birds like the Golden Eagle, to the underwater canyons of the Northeast Canyons and Seamounts National Monument that support a critical ecosystem for Atlantic Puffins, to the rocky peaks of the Organ Mountains-Desert Peaks National Monument, the shrub-steppe habitat of Hanford Reach National Monument in Washington, and out to the pristine Pacific waters of the Papahanaumokuakea National Monument, all of these lands and waters are indispensable to birds and other wildlife.These monuments are a legacy of Teddy Roosevelt. He and all fifteen subsequent presidents--of both parties--have recognized the need and value of protecting these public lands with the Antiquities Act. I urge you to uphold Roosevelt's legacy and maintain these monuments for current and future generations.Sincerely,Julia Rinaldi Santa Rosa, CA 95407",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-62397
DOI-2017-0002-4580,"I am strongly against the idea of selling off entire or parts of our nation's natural treasures. We set aside these places so that future generations could see them, love them, and learn from them. The value of that to America will always outweigh the monetary gains to made from them. (Especially when it comes to mineral, timber, or oil extraction. Those are finite resources the extraction of which uses up and destroys the land around them. Whereas, with continued careful management we can go on enjoying and learning from these natural national wonders for generation upon generations.) As a born and bred Californian, I especially appalled to see the Giant Sequoias on the list. Those are some amazingly majestic trees! Their long lifespans are incredible and slightly mind-boggling and careful investigations of them can give us incredible insight into history and science. Why would you want to destroy any part of that? I imagine each of the other places on the list has its own wonders and insights of equal or greater value and so I am equally outraged by the threat to them. Don't destroy these national treasures for short-sighted private gain. Keep them whole. Keep them public. Keep them for the future.",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-4580
DOI-2017-0002-32232,"Dear Secretary Ryan Zinke,Bears Ears National Monument is an important part of our American experience and education, as are all national monuments. Please preserve these lands for not only our generation, but for every one to follow. Once these areas are developed, there is no undoing the process.",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-32232
DOI-2017-0002-71623,"Dear Secretary Ryan Zinke,As a supporter of bird conservation and our public lands, I strongly urge you to protect all national monuments under review, and to reject any changes to these iconic landscapes. The national monuments created in the past twenty years have protected vital bird habitat, helped safeguard our heritage, and benefited communities across the country. Reversing any of these designations would be a tragic mistake with harmful consequences for all that depend on our magnificent public lands. From the buttes of Bears Ears that support birds like the Golden Eagle, to the underwater canyons of the Northeast Canyons and Seamounts National Monument that support a critical ecosystem for Atlantic Puffins, to the rocky peaks of the Organ Mountains-Desert Peaks National Monument, the shrub-steppe habitat of Hanford Reach National Monument in Washington, and out to the pristine Pacific waters of the Papahanaumokuakea National Monument, all of these lands and waters are indispensable to birds and other wildlife.These monuments are a legacy of Teddy Roosevelt. He and all fifteen subsequent presidents--of both parties--have recognized the need and value of protecting these public lands with the Antiquities Act. I urge you to uphold Roosevelt's legacy and maintain these monuments for current and future generations.Sincerely,Susan Damato Syracuse, NY 13210",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-71623
DOI-2017-0002-70407,"Dear Secretary Ryan Zinke,As a supporter of bird conservation and our public lands, I strongly urge you to protect all national monuments under review, and to reject any changes to these iconic landscapes. The national monuments created in the past twenty years have protected vital bird habitat, helped safeguard our heritage, and benefited communities across the country. Reversing any of these designations would be a tragic mistake with harmful consequences for all that depend on our magnificent public lands. From the buttes of Bears Ears that support birds like the Golden Eagle, to the underwater canyons of the Northeast Canyons and Seamounts National Monument that support a critical ecosystem for Atlantic Puffins, to the rocky peaks of the Organ Mountains-Desert Peaks National Monument, the shrub-steppe habitat of Hanford Reach National Monument in Washington, and out to the pristine Pacific waters of the Papahanaumokuakea National Monument, all of these lands and waters are indispensable to birds and other wildlife.These monuments are a legacy of Teddy Roosevelt. He and all fifteen subsequent presidents--of both parties--have recognized the need and value of protecting these public lands with the Antiquities Act. I urge you to uphold Roosevelt's legacy and maintain these monuments for current and future generations.Sincerely,Mary Johannsen Minneapolis, MN 55411",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-70407
DOI-2017-0002-59927,"Dear Secretary Ryan Zinke,As a supporter of bird conservation and our public lands, I strongly urge you to protect all national monuments under review, and to reject any changes to these iconic landscapes. The national monuments created in the past twenty years have protected vital bird habitat, helped safeguard our heritage, and benefited communities across the country. Reversing any of these designations would be a tragic mistake with harmful consequences for all that depend on our magnificent public lands. From the buttes of Bears Ears that support birds like the Golden Eagle, to the underwater canyons of the Northeast Canyons and Seamounts National Monument that support a critical ecosystem for Atlantic Puffins, to the rocky peaks of the Organ Mountains-Desert Peaks National Monument, the shrub-steppe habitat of Hanford Reach National Monument in Washington, and out to the pristine Pacific waters of the Papahanaumokuakea National Monument, all of these lands and waters are indispensable to birds and other wildlife.These monuments are a legacy of Teddy Roosevelt. He and all fifteen subsequent presidents--of both parties--have recognized the need and value of protecting these public lands with the Antiquities Act. I urge you to uphold Roosevelt's legacy and maintain these monuments for current and future generations.Sincerely,T Mo Inver Grove Heights, MN 55076",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-59927
DOI-2017-0002-73817,"American sportsmen and women support judicious use of the Antiquities Act to permanently conserve important lands and waters, safeguard fish and wildlife habitat, and secure public hunting and fishing opportunities. Recently designated national monuments, such as Rio Grande del Norte in New Mexico, Berryessa Snow Mountain in California and Upper Missouri River Breaks in Montana, provide important hunting and fishing opportunities and enjoy widespread support from hunters and anglers. Our community is invested in ensuring that these important landscapes will remain under long-term protection.Please stand with me and Backcountry Hunters & Anglers in defending the world-class habitat and hunting and angling found in America's national monuments.",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-73817
DOI-2017-0002-52538,"Dear Secretary Ryan Zinke,I just want to send you a letter to say how important Bear's Ear and National Parks are to our great Nation! I have spent many happy days hiking and horse back riding in many National Parks across this country. I grew up camping in the White Mountains and the Green Mountains. Later I spent time at the Parks in Utah, Colorado, and New Mexico. Not only are the important for public recreation but the are vital for the continued existence of wildlife and the ecosystem which surrounds us and gives us life! Please save them forever!Sincerely,Kristin Kos Milford, NH 03055",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-52538
DOI-2017-0002-46083,"I have been fortunate enough to visit 3 of the new National Monuments: Organ Mtns, Upper Rio Grande, and Escalante. I very much value them in their natural state. Our national monuments are our most beautiful and irreplaceable assets. Please preserve and protect them from those who would burn, chain, pollute, denude, strip, and one way or another, rape our National Monuments. Thanks for being good stewards for our National Monuments and Parks!",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-46083
DOI-2017-0002-71165,"Dear Secretary Ryan Zinke,As a supporter of bird conservation and our public lands, I strongly urge you to protect all national monuments under review, and to reject any changes to these iconic landscapes. The national monuments created in the past twenty years have protected vital bird habitat, helped safeguard our heritage, and benefited communities across the country. Reversing any of these designations would be a tragic mistake with harmful consequences for all that depend on our magnificent public lands. From the buttes of Bears Ears that support birds like the Golden Eagle, to the underwater canyons of the Northeast Canyons and Seamounts National Monument that support a critical ecosystem for Atlantic Puffins, to the rocky peaks of the Organ Mountains-Desert Peaks National Monument, the shrub-steppe habitat of Hanford Reach National Monument in Washington, and out to the pristine Pacific waters of the Papahanaumokuakea National Monument, all of these lands and waters are indispensable to birds and other wildlife.These monuments are a legacy of Teddy Roosevelt. He and all fifteen subsequent presidents--of both parties--have recognized the need and value of protecting these public lands with the Antiquities Act. I urge you to uphold Roosevelt's legacy and maintain these monuments for current and future generations.Sincerely,Neill Matheson Dallas, TX 75208",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-71165
DOI-2017-0002-32184,"Dear Secretary Ryan Zinke, Bears Ears National Monument is ecologically rich and culturally valuable. Rescinding or changing it only hurts one of our nations most incredible landscapes.Tragically, we have so few areas left in original pristine state. We must steward this area responsibly and never allow profit of any kind to be the guiding principle here.",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-32184
DOI-2017-0002-15029,"Dear Secretary Ryan Zinke,There is NOTHING more valuable that we can bequeath our children than the wild places in the USA. Short term priorities can't compete with legacy. Sincerely,Maureen Tierney Reisterstown, MD 21136",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-15029
DOI-2017-0002-61588,"Dear Secretary Ryan Zinke,As a supporter of bird conservation and our public lands, I strongly urge you to protect all national monuments under review, and to reject any changes to these iconic landscapes. The national monuments created in the past twenty years have protected vital bird habitat, helped safeguard our heritage, and benefited communities across the country. Reversing any of these designations would be a tragic mistake with harmful consequences for all that depend on our magnificent public lands. From the buttes of Bears Ears that support birds like the Golden Eagle, to the underwater canyons of the Northeast Canyons and Seamounts National Monument that support a critical ecosystem for Atlantic Puffins, to the rocky peaks of the Organ Mountains-Desert Peaks National Monument, the shrub-steppe habitat of Hanford Reach National Monument in Washington, and out to the pristine Pacific waters of the Papahanaumokuakea National Monument, all of these lands and waters are indispensable to birds and other wildlife.These monuments are a legacy of Teddy Roosevelt. He and all fifteen subsequent presidents--of both parties--have recognized the need and value of protecting these public lands with the Antiquities Act. I urge you to uphold Roosevelt's legacy and maintain these monuments for current and future generations.Sincerely,Kim Hutson Mount Pleasant, SC 29466",Yes,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-61588
DOI-2017-0002-11254,"Dear Mr. Zinke,The protection of public lands is more important now than ever. These places hold significant historical, cultural and natural meaning, to put them in peril would be a tragedy now and for every future generation. I ask you on behalf of my fellow re creationists to continue to protect and treasure these strongholds of our country's natural beauty.",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-11254
DOI-2017-0002-27448,"Dear Secretary Ryan Zinke,I am happy to hear that you are evaluating many designations of federal monuments/lands. The protection and/or use of these lands is best left to the states, and respectively the people. Congress can choose to provide incentives to encourage states to create protected public areas--but the US government should not unilaterally restrict the ability of states to manage their land. Respectfully,Nate HydeSincerely,Nathan Hyde Sacramento, CA 95820",No,Negative,https://www.regulations.gov/document?D=DOI-2017-0002-27448
DOI-2017-0002-22817,"Dear Secretary Ryan Zinke,America's National Monuments preserve the land that belongs to all Americans- not just a few who want to capitalize on it for the benefit of only themselves. America is so special in its preservation of open space for wilderness and recreation compared to many other industrialized countries. Our public spaces are open for everyone across all socio-economic lines, and remains a bastion for getting back to our roots, disconnecting from our daily lives, and taking care of our resources for many generations to come. Please do not put profit over preservation and what is best for all of the American people.Sincerely,Kaylee Griffith El Segundo, CA 90245",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-22817
DOI-2017-0002-51062,"Giant Sequoia National Monument protects a large portion of the remaining sequoia groves, and it only exists today because people cared to defend what remains of this ancient forest. We must continue to protect and preserve this living aspect of our National Heritage!",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-51062
DOI-2017-0002-8740,"SitsI do not favor taking some of our National Monuments off the protected list for a couple of reasons;1, althrough we have places like Yosemite and Yellowstone to visit, ithey become over crowed quickly at various times during the year. We need areas set aside for people to go and relive the stress and strain of a very busy lifestyle. These areas need to be within a short drive from major cities. Places for people to go and enjoy nature and wild animals in their own habitat.2, To allow commercial development of land that belongs to all Americas is wrong. Allow us to all enjoy the beauty of America, not just a certain few.Thank youRM",No,Positive,https://www.regulations.gov/document?D=DOI-2017-0002-8740
